epoch,step,train/acc,train/loss,val_N1_f1,val_acc,val_f1_N1,val_f1_N2,val_f1_N3,val_f1_REM,val_f1_W,val_f1_macro,val_kappa,val_loss
0,19,0.3157023787498474,2.903898000717163,,,,,,,,,,
0,39,0.32526350021362305,2.918109893798828,,,,,,,,,,
0,59,0.3690141439437866,2.713059663772583,,,,,,,,,,
0,79,0.3793516457080841,2.575009346008301,,,,,,,,,,
0,99,0.4190828204154968,2.4933133125305176,,,,,,,,,,
0,119,0.4181637167930603,2.4319448471069336,,,,,,,,,,
0,139,0.5460634827613831,2.0709762573242188,,,,,,,,,,
0,159,0.5463688373565674,1.9476542472839355,,,,,,,,,,
0,179,0.538733959197998,2.0368492603302,,,,,,,,,,
0,199,0.47023382782936096,2.339930534362793,,,,,,,,,,
0,219,0.5272194147109985,1.9369175434112549,,,,,,,,,,
0,239,0.5794129967689514,1.9684300422668457,,,,,,,,,,
0,259,0.5755006074905396,1.8059184551239014,,,,,,,,,,
0,279,0.592535138130188,1.6473641395568848,,,,,,,,,,
0,299,0.5583535432815552,1.9615087509155273,,,,,,,,,,
0,319,0.5879461765289307,1.6917097568511963,,,,,,,,,,
0,339,0.5881105661392212,1.8784782886505127,,,,,,,,,,
0,359,0.5733034014701843,1.9250614643096924,,,,,,,,,,
0,379,0.5809265375137329,2.038761854171753,,,,,,,,,,
0,399,0.6400159597396851,1.6662161350250244,,,,,,,,,,
0,419,0.6300606727600098,1.7222900390625,,,,,,,,,,
0,439,0.6042211055755615,1.7412493228912354,,,,,,,,,,
0,459,0.6286157369613647,1.627516746520996,,,,,,,,,,
0,479,0.6282299757003784,1.7255340814590454,,,,,,,,,,
0,499,0.6117156744003296,1.749146580696106,,,,,,,,,,
0,519,0.5837506055831909,1.6933233737945557,,,,,,,,,,
0,539,0.5943248867988586,1.686622142791748,,,,,,,,,,
0,559,0.6258517503738403,1.763645887374878,,,,,,,,,,
0,579,0.5883797407150269,1.7831346988677979,,,,,,,,,,
0,599,0.6446564197540283,1.609744906425476,,,,,,,,,,
0,619,0.5958384871482849,1.6834137439727783,,,,,,,,,,
0,639,0.5883674621582031,1.755293846130371,,,,,,,,,,
0,659,0.647835373878479,1.7350633144378662,,,,,,,,,,
0,669,,,0.31624433398246765,0.6733788251876831,0.31624433398246765,0.7417696714401245,0.6441136002540588,0.6101090908050537,0.8648146986961365,0.655715823173523,0.6508963704109192,1.5319329500198364
1,679,0.6104475259780884,1.8750280141830444,,,,,,,,,,
1,699,0.6516849398612976,1.652620792388916,,,,,,,,,,
1,719,0.5974464416503906,1.9118903875350952,,,,,,,,,,
1,739,0.6123032569885254,1.7820498943328857,,,,,,,,,,
1,759,0.6790725588798523,1.5709751844406128,,,,,,,,,,
1,779,0.7308171391487122,1.0013302564620972,,,,,,,,,,
1,799,0.6887917518615723,1.4465217590332031,,,,,,,,,,
1,819,0.7091070413589478,1.262769341468811,,,,,,,,,,
1,839,0.7515889406204224,1.133839726448059,,,,,,,,,,
1,859,0.6996331214904785,1.2602946758270264,,,,,,,,,,
1,879,0.7127410173416138,1.2158102989196777,,,,,,,,,,
1,899,0.7100571393966675,1.2902262210845947,,,,,,,,,,
1,919,0.6478897333145142,1.6516573429107666,,,,,,,,,,
1,939,0.7062256336212158,1.398245930671692,,,,,,,,,,
1,959,0.6846011281013489,1.5342319011688232,,,,,,,,,,
1,979,0.7471965551376343,1.1330838203430176,,,,,,,,,,
1,999,0.7295688390731812,1.2242157459259033,,,,,,,,,,
1,1019,0.7207891941070557,1.3139986991882324,,,,,,,,,,
1,1039,0.6716704368591309,1.5521149635314941,,,,,,,,,,
1,1059,0.7497543096542358,1.2134560346603394,,,,,,,,,,
1,1079,0.8060707449913025,0.9208934307098389,,,,,,,,,,
1,1099,0.780699610710144,0.9986790418624878,,,,,,,,,,
1,1119,0.721564769744873,1.3666337728500366,,,,,,,,,,
1,1139,0.7082287073135376,1.2921357154846191,,,,,,,,,,
1,1159,0.7467478513717651,1.0346169471740723,,,,,,,,,,
1,1179,0.7277681827545166,1.3127520084381104,,,,,,,,,,
1,1199,0.7333981394767761,1.0595722198486328,,,,,,,,,,
1,1219,0.7467425465583801,1.0198088884353638,,,,,,,,,,
1,1239,0.7145726680755615,1.1650383472442627,,,,,,,,,,
